-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     aten::scaled_dot_product_attention         0.00%     923.138us         0.03%       5.328ms     106.557us       0.000us         0.00%       13.787s     275.735ms            50  
              aten::_scaled_dot_product_flash_attention         0.00%     451.287us         0.02%       4.150ms      82.992us       0.000us         0.00%       13.787s     275.735ms            50  
                         aten::_flash_attention_forward         0.00%     942.213us         0.02%       3.378ms      67.554us       13.787s        70.93%       13.787s     275.735ms            50  
void pytorch_flash::flash_fwd_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us       13.787s        70.93%       13.787s     275.735ms            50  
                                           aten::linear         0.00%     465.606us         0.20%      38.385ms     187.245us       0.000us         0.00%        3.355s      16.365ms           205  
                                         PythonSubclass         0.03%       6.662ms         0.19%      37.054ms     123.514us       0.000us         0.00%        3.349s      11.165ms           300  
                             comfy_kitchen::int8_linear         0.12%      23.218ms         0.16%      30.392ms     202.615us        3.349s        17.23%        3.349s      22.330ms           150  
void cutlass::Kernel2<cutlass::gemm::kernel::Default...         0.00%       0.000us         0.00%       0.000us       0.000us        2.297s        11.82%        2.297s      15.312ms           150  
void cutlass::Kernel2<cutlass::gemm::kernel::Default...         0.00%       0.000us         0.00%       0.000us       0.000us        1.433s         7.37%        1.433s      28.657ms            50  
                                          cudaFreeAsync         0.05%       8.724ms         0.05%       8.724ms       1.351us     968.312ms         4.98%     968.312ms     149.963us          6457  
                                            aten::copy_         0.09%      17.181ms        20.44%        3.960s     977.428us     456.555ms         2.35%     457.324ms     112.892us          4051  
                                               aten::to         0.02%       4.331ms        20.63%        3.996s     950.796us       0.000us         0.00%     456.696ms     108.660us          4203  
                                         aten::_to_copy         0.04%       7.970ms        20.60%        3.989s     988.184us       0.000us         0.00%     456.696ms     113.128us          4037  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us     443.550ms         2.28%     443.550ms     110.887ms             4  
void comfy::(anonymous namespace)::quantize_int8_row...         0.00%       0.000us         0.00%       0.000us       0.000us     347.471ms         1.79%     347.471ms       6.949ms            50  
void comfy::(anonymous namespace)::quantize_int8_row...         0.00%       0.000us         0.00%       0.000us       0.000us     343.859ms         1.77%     343.859ms       2.292ms           150  
                    comfy_kitchen::rms_rope_split_half_         0.04%       7.939ms         0.04%       8.314ms     166.284us     295.417ms         1.52%     295.417ms       5.908ms            50  
void comfy::(anonymous namespace)::rope_kernel<__nv_...         0.00%       0.000us         0.00%       0.000us       0.000us     295.417ms         1.52%     295.417ms       5.908ms            50  
